radio,mcc,mnc,tac,cid,lat,lon,range
LTE,255,3,8793,36061217,49.836185,23.876162,11374
GSM,255,1,51481,7266,49.814666,23.872494,7207
GSM,255,1,51481,7262,49.812004,23.908402,8110
GSM,255,1,51481,7263,49.810147,23.850929,7640
GSM,255,1,51481,7891,49.818689,23.900066,850
GSM,255,1,51481,8204,49.822692,23.924143,1629
GSM,255,1,51481,8206,49.816643,23.899162,2495
GSM,255,1,51481,7896,49.814202,23.895755,989
LTE,255,3,8793,36317215,49.825098,23.89964,1266
GSM,255,1,51481,7893,49.818589,23.899966,859
GSM,255,1,51481,11723,49.812873,23.807581,5687
GSM,255,1,51481,7892,49.818039,23.899416,909
GSM,255,1,51481,7243,49.842654,23.901187,892
GSM,255,1,51481,8503,49.845234,23.903158,3651
LTE,255,3,8795,36047915,49.819167,23.981157,1668
GSM,255,1,51481,11722,49.827893,23.899607,2034
CDMA,255,3,10194,33377890,49.848607,24.000524,850
LTE,297,3,40104,39169,42.458687,18.576241,884
GSM,255,1,51481,7173,49.809043,23.977763,1173
WCDMA,255,3,9193,33378134,49.821311,23.917219,1572
LTE,255,1,51481,117760801,49.839371,23.882753,5853
WCDMA,255,3,10195,33383650,49.80648,23.977063,900
WCDMA,255,1,51481,127015630,49.803288,23.975855,1057
WCDMA,255,1,51481,127012440,49.821192,23.917923,2280
LTE,255,3,8793,36061216,49.81899,23.917301,2525
LTE,255,3,8795,36082985,49.819049,23.977066,962
WCDMA,255,1,51481,127012640,49.816136,23.969342,798
WCDMA,255,3,10195,33389351,49.821323,23.975235,1056
LTE,297,3,40104,41985,42.458122,18.535285,3245
WCDMA,297,3,30104,6726874,42.454399,18.549522,887
LTE,297,1,44,10550786,42.454127,18.533995,6509
